Date,AAPL,MSFT,LLY,NVO,JPM,V,AMZN,TSLA,WMT,COST,BP,EQNR,GE,CAT,LIN,BHP,NEE,SO,PLD,AMT,GOOGL,META
2024-03-11,0.0118,-0.0042,-0.0371,-0.0138,0.0004,0.0019,-0.0195,0.0138,0.0089,-0.0159,0.0022,-0.0142,-0.0084,-0.0125,0.0149,-0.0206,0.001,0.0111,-0.0071,-0.0027,0.0166,-0.0452
2024-03-12,0.0028,0.0263,0.0276,0.0291,0.0082,0.0119,0.0198,-0.0013,0.0123,0.0314,0.0044,-0.0066,0.0054,0.0068,0.0042,-0.0023,-0.0125,-0.0062,0.0033,-0.0125,0.006,0.0329
2024-03-13,-0.0122,-0.0004,0.0038,-0.0121,0.0081,0.0043,0.0066,-0.0465,-0.0021,-0.0036,0.0181,0.0181,0.016,0.0126,0.0102,0.0154,0.041,0.0085,-0.0093,-0.009,0.0093,-0.0084
2024-03-14,0.0109,0.0241,0.0038,0.0081,-0.018,0.0044,0.0123,-0.0421,-0.0009,-0.0031,0.0045,0.0038,-0.0202,0.0012,-0.002,-0.0147,0.0,-0.008,-0.0195,-0.0157,0.0234,-0.0076
2024-03-15,-0.0022,-0.0209,-0.0087,-0.0166,0.0123,-0.0118,-0.0245,0.0066,-0.0056,-0.0087,0.0,-0.0008,0.0128,0.0147,-0.0121,-0.0066,0.009,-0.0042,-0.006,-0.0093,-0.0135,-0.0158
2024-03-18,0.0064,0.0022,0.0112,0.0039,0.0123,0.0071,0.0003,0.0607,0.003,0.0081,0.008,0.014,0.006,0.0141,-0.0045,0.0038,0.0015,0.0048,-0.0068,-0.0073,0.045,0.0263
2024-03-19,0.0135,0.0098,0.0132,-0.0115,0.0058,0.008,0.0081,-0.0144,0.0002,0.0009,0.0013,-0.0068,0.0207,0.0057,0.0013,0.0135,0.0181,0.0113,-0.0023,0.0037,-0.0044,-0.0015
2024-03-20,0.0146,0.009,0.0001,-0.0077,0.013,0.0067,0.0127,0.025,0.0062,0.0116,0.0013,0.0139,0.0027,0.0072,0.0001,0.0199,0.0151,0.0003,0.0066,-0.0102,0.0116,0.0185
2024-03-21,-0.0417,0.0097,-0.0034,-0.0041,0.0138,0.0038,0.0,-0.0163,0.0033,0.0025,-0.0042,-0.0037,0.0155,0.0225,-0.0011,0.0019,-0.0136,-0.0047,0.0092,-0.0036,-0.0077,0.0044
2024-03-22,0.0053,-0.0015,0.0005,-0.0011,-0.0123,-0.0248,0.004,-0.0116,-0.0095,-0.0105,0.0019,0.0034,-0.0085,-0.0179,0.0042,-0.0148,0.0068,-0.0014,-0.0098,-0.0059,0.0212,0.0036
2024-03-25,-0.0083,-0.0138,0.0033,0.0022,-0.0092,-0.0073,0.0047,0.0105,-0.0049,-0.0052,0.0121,0.0141,-0.0095,-0.006,-0.0029,-0.0014,0.0133,-0.0006,-0.0117,0.0143,-0.0047,-0.013
2024-03-26,-0.0067,-0.0029,0.0023,0.0028,0.0047,-0.0022,-0.0079,0.0288,-0.001,0.0,-0.0182,-0.0208,0.0003,0.0012,0.0014,-0.0072,-0.019,-0.007,-0.0158,-0.0075,0.004,-0.0143
2024-03-27,0.021,-0.0005,0.0042,-0.0106,0.0192,-0.0056,0.0085,0.0121,0.0035,0.0015,-0.0029,0.0101,0.0372,0.0229,-0.0028,0.0172,0.0377,0.0254,0.0293,0.0168,0.0013,-0.0041
2024-03-28,-0.0106,-0.0017,-0.0003,0.0027,0.0039,0.0002,0.0031,-0.0227,-0.0091,0.0008,0.0059,0.0048,-0.0258,0.0049,-0.0041,0.0028,0.0019,0.0097,0.0105,0.0011,0.0004,-0.0169
2024-04-01,-0.0085,0.0091,-0.0226,-0.0066,-0.0068,-0.0029,0.0033,-0.0032,-0.0028,-0.0157,0.0069,0.0077,-0.001,-0.0074,-0.002,0.0114,-0.0083,-0.009,-0.0178,-0.0235,0.0298,0.0118
